"Title","Album","Year","Popularity","Duration","Key","Mode","Tempo","Time_signature","Valence","Danceability","Energy","Loudness","Acousticness","Instrumentalness","Liveness","Speechiness","Songwriter.s.","Lead.vocal.s.","Genre","Styles","Period","titulo_tratado"
"Mean Mr. Mustard","Abbey Road",1969,58,66,4,1,100.687,4,0.97,0.676,0.596,-9.107,0.0699,1.96e-05,0.351,0.0272,"Lennon","Lennon","Pop/Rock","Album Rock, Contemporary Pop/Rock, Hard Rock, Prog-Rock, Rock & Roll, Early Pop/Rock","late","mean mr mustard"
"Michelle","Rubber Soul",1965,70,160,5,0,117.403,4,0.666,0.578,0.29,-12.501,0.652,0,0.105,0.0341,"Lennon / McCartney","McCartney","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock","middle","michelle"
"Misery","Please Please Me",1963,54,107,0,1,133.348,4,0.882,0.591,0.605,-10.925,0.707,0,0.309,0.0413,"Lennon / McCartney","Lennon, with McCartney","Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","early","misery"
"Money (That's What I Want)","With The Beatles",1963,51,167,11,0,128.816,1,0.923,0.545,0.853,-8.369,0.425,0,0.266,0.0394,"Gordy / Bradford","Lennon","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","money thats what i want"
"Mother Nature's Son","The Beatles",1968,57,168,2,1,84.78,4,0.401,0.608,0.178,-17.109,0.634,0.352,0.166,0.0264,"McCartney","McCartney","Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter, Folk-Rock, Psychedelic/Garage","late","mother natures son"
"Mr. Moonlight","Beatles For Sale",1964,48,155,6,1,126.127,5,0.589,0.631,0.424,-9.106,0.796,0.000143,0.118,0.0438,"Johnson","Lennon","Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Rock & Roll","early","mr moonlight"
"No Reply","Beatles For Sale",1964,55,135,0,1,124.251,4,0.869,0.718,0.593,-9.976,0.67,0,0.172,0.0377,"Lennon / McCartney","Lennon, with McCartney","Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","early","no reply"
"Norwegian Wood","Rubber Soul",1965,75,125,4,1,176.625,3,0.65,0.425,0.369,-11.876,0.183,0.00126,0.112,0.0379,"Lennon / McCartney","Lennon","Folk Rock, Raga Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter","middle","norwegian wood"
"Not a Second Time","With The Beatles",1963,48,128,7,1,124.848,4,0.961,0.471,0.817,-9.999,0.213,0,0.498,0.0372,"Lennon","Lennon","Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","not a second time"
"Nowhere Man","Rubber Soul",1965,67,164,4,1,121.402,4,0.687,0.534,0.624,-9.589,0.00797,0,0.128,0.0462,"Lennon","Lennon","Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage","middle","nowhere man"
"Ob-la-di, Ob-la-da","The Beatles",1968,74,187,10,1,113.059,4,0.975,0.818,0.728,-8.331,0.232,0.0642,0.251,0.0314,"McCartney","McCartney","Ska, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","late","obladi oblada"
"Octopus's Garden","Abbey Road",1969,68,168,1,0,92.225,4,0.73,0.626,0.512,-9.15,0.155,4.65e-05,0.215,0.0247,"Starkey","Starkey","Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","late","octopuss garden"
"Oh! Darling","Abbey Road",1969,69,206,4,1,173.93,3,0.549,0.422,0.656,-8.412,0.0126,0.0279,0.268,0.0397,"McCartney","McCartney","Swamp Pop, Hard Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll","late","oh darling"
"One After 909","Let It Be",1969,51,172,4,1,90.95,4,0.888,0.554,0.828,-6.435,0.0307,0,0.907,0.0739,"Lennon","Lennon, with McCartney","Roots Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","late","one after 909"
"Only a Northern Song","Yellow Submarine",1967,43,207,9,1,209.242,4,0.801,0.175,0.731,-8.341,0.000341,0.000751,0.0846,0.0705,"Harrison","Harrison","Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","late","only a northern song"
"P.S. I Love You","Please Please Me",1962,54,126,2,1,134.435,4,0.77,0.635,0.656,-8.5,0.389,0.00127,0.0828,0.0291,"Lennon / McCartney","McCartney","Merseybeat, Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","early","ps i love you"
"Penny Lane","Magical Mystery Tour",1966,67,183,9,1,113.038,4,0.49,0.651,0.488,-8.22,0.212,0.026,0.136,0.0316,"McCartney","McCartney","Progressive Pop, Baroque Pop, Psychedelic Pop, Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","middle","penny lane"
"Piggies","The Beatles",1968,52,124,8,1,93.245,4,0.52,0.542,0.445,-9.105,0.643,0,0.516,0.0303,"Harrison","Harrison","Baroque Pop, Folk, Pop/Rock","Baroque Pop, Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Psychedelic/Garage","late","piggies"
"Please Mr. Postman","With The Beatles",1963,58,156,9,1,122.546,4,0.961,0.552,0.644,-9.129,0.675,0,0.36,0.0372,"Dobbins / Garrett / Holland / Bateman / Gorman","Lennon","Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","please mr postman"
"Please Please Me","Please Please Me",1962,61,120,4,1,139.388,4,0.706,0.527,0.48,-9.61,0.334,0,0.0702,0.028,"Lennon","Lennon, with McCartney","Merseybeat, Rock and Roll, Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","early","please please me"
"Polythene Pam","Abbey Road",1969,57,72,11,0,166.829,4,0.499,0.474,0.939,-8.884,0.00472,0.674,0.19,0.199,"Lennon","Lennon","Pop/Rock","Album Rock, Contemporary Pop/Roc,k, Early Pop/Rock, Hard Rock, Rock & Roll, Prog-Rock","late","polythene pam"
"Revolution","The Beatles",1968,52,201,9,1,98.425,4,0.695,0.386,0.626,-9.451,0.0785,0.00164,0.621,0.0377,"Lennon","Lennon","Hard rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Hard Rock","late","revolution"
"Revolution 9","The Beatles",1968,47,502,2,0,91.158,4,0.101,0.208,0.615,-15.297,0.769,0.118,0.824,0.342,"Lennon / Ono / Harrison","","Avant-Garde, Musique Concrete, Experimental, Sound Collage, Pop/Rock","Alternative/Indie Rock, Experimental Rock, Sound Collage, British Psychedelia, Psychedelic/Garage","late","revolution 9"
"Rock and Roll Music","Beatles For Sale",1964,55,150,9,1,167.092,4,0.965,0.457,0.917,-6.213,0.566,0,0.333,0.0441,"Berry","Lennon","Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Rock & Roll","early","rock and roll music"
"Rocky Raccoon","The Beatles",1968,61,213,7,1,79.456,4,0.648,0.599,0.363,-11.728,0.333,0,0.243,0.0315,"Lennon / McCartney","McCartney","Country, Folk Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","late","rocky raccoon"
"Roll Over Beethoven","With The Beatles",1963,56,168,2,1,160.673,4,0.967,0.351,0.749,-9.435,0.289,0,0.0952,0.0628,"Berry","Harrison","Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","early","roll over beethoven"
"Run for Your Life","Rubber Soul",1965,55,138,2,1,176.732,4,0.822,0.563,0.705,-9.232,0.0103,0,0.0552,0.103,"Lennon / McCartney","Lennon","Rock, Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Rock & Roll","middle","run for your life"
"Savoy Truffle","The Beatles",1968,50,174,11,0,120.761,4,0.793,0.623,0.544,-11.043,0.00814,0.309,0.134,0.0536,"Harrison","Harrison","Soul, Blues Rock, Hard Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Album Rock, British Psychedelia, Psychedelic/Garage","late","savoy truffle"
"Sexy Sadie","The Beatles",1968,54,195,0,1,75.478,4,0.671,0.577,0.624,-9.626,0.33,0.00622,0.117,0.0285,"Lennon","Lennon","Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Album Rock, British Psychedelia, Psychedelic/Garage","late","sexy sadie"
"Sgt. Pepper's Lonely Hearts Club Band","Sgt. Pepper's Lonely Hearts Club Band",1967,64,119,7,1,95.513,4,0.583,0.451,0.673,-9.115,0.0857,0.00225,0.797,0.0734,"McCartney","McCartney, with Lennon","Psychedelic Rock, Hard Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll, Hard Rock","middle","sgt peppers lonely hearts club band"
"Sgt. Pepper's Lonely Hearts Club Band (Reprise)","Sgt. Pepper's Lonely Hearts Club Band",1967,52,80,0,1,118.773,4,0.879,0.653,0.889,-8.006,0.0061,0.589,0.892,0.0453,"McCartney","McCartney, with Lennon and Harrison","Psychedelic Rock, Hard Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll, Hard Rock","middle","sgt peppers lonely hearts club band reprise"
"She Came in Through the Bathroom Window","Abbey Road",1969,61,117,2,1,80.652,4,0.69,0.53,0.72,-8.793,0.00376,3.38e-05,0.314,0.0338,"McCartney","McCartney","Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll, Prog-Rock","late","she came in through the bathroom window"
"She Said She Said","Revolver",1966,56,157,3,1,106.476,4,0.672,0.329,0.678,-7.878,0.103,0.168,0.843,0.0344,"Lennon","Lennon","Psychedelic Rock, Acid Rock[, Pop/Rock","British Invasion, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll","middle","she said she said"
"She's Leaving Home","Sgt. Pepper's Lonely Hearts Club Band",1967,60,215,4,1,127.581,3,0.393,0.381,0.214,-11.629,0.944,0,0.106,0.0337,"Lennon / McCartney","McCartney, with Lennon","Baroque Pop, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Psychedelic/Garage","middle","shes leaving home"
"Something","Abbey Road",1969,76,179,0,1,133.522,4,0.377,0.396,0.338,-10.872,0.198,2.62e-06,0.138,0.0304,"Harrison","Harrison","Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock","late","something"
"Strawberry Fields Forever","Magical Mystery Tour",1966,71,245,10,1,97.871,4,0.289,0.39,0.502,-12.277,0.336,0.000138,0.0713,0.178,"Lennon","Lennon","Psychedelic Rock, Art Pop, Psychedelic Pop, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock, Psychedelic/Garage","middle","strawberry fields forever"
"Sun King","Abbey Road",1969,59,146,2,1,74.994,4,0.192,0.483,0.177,-17.629,0.284,0.499,0.116,0.0277,"Lennon","Lennon","Art Pop, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Prog-Rock, Psychedelic/Garage","late","sun king"
"Taxman","Revolver",1966,60,159,7,1,133.586,4,0.783,0.469,0.596,-8.348,0.0101,0,0.321,0.0749,"Harrison","Harrison","Rock, Hard Rock, Psychedelic Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","middle","taxman"
"Tell Me What You See","Help!",1965,49,156,7,1,136.675,4,0.7,0.592,0.796,-8.125,0.061,0,0.131,0.0429,"Lennon / McCartney","McCartney, with Lennon","Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","early","tell me what you see"
"Tell Me Why","A Hard Day's Night",1964,52,130,11,0,150.942,3,0.797,0.267,0.688,-6.309,0.586,0,0.307,0.0388,"Lennon","Lennon","Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","early","tell me why"
"The Continuing Story of Bungalow Bill","The Beatles",1968,54,198,0,1,114.816,4,0.648,0.621,0.459,-10.414,0.224,0,0.656,0.104,"Lennon","Lennon, with Starkey","Folk Rock, Pop/Rock","","late","the continuing story of bungalow bill"
"The End","Abbey Road",1969,59,140,11,0,123.444,1,0.222,0.647,0.487,-10.119,0.00101,0.285,0.138,0.0689,"McCartney","McCartney","Hard Rock, Art Rock, Heavy Metal, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Prog-RockHard Rock","late","the end"
"The Fool on the Hill","Magical Mystery Tour",1967,60,180,4,0,144.184,4,0.49,0.356,0.26,-10.577,0.913,2.1e-06,0.105,0.0314,"McCartney","McCartney","Baroque Pop, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","middle","the fool on the hill"
"The Long and Winding Road","Let It Be",1969,68,220,3,1,132.282,4,0.392,0.299,0.329,-10.096,0.756,0.0105,0.0559,0.0279,"McCartney","McCartney","Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter","late","the long and winding road"
"The Night Before","Help!",1965,56,153,2,1,84.496,4,0.632,0.461,0.762,-6.727,0.0537,0,0.238,0.0379,"McCartney","McCartney","Electronic Pop/Rock","Adult Contemporary, Club/Dance","early","the night before"
"The Word","Rubber Soul",1965,55,161,0,1,120.773,4,0.792,0.59,0.641,-9.687,0.00682,0,0.0553,0.0416,"Lennon / McCartney","Lennon, McCartney and Harrison","Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","middle","the word"
"There's a Place","Please Please Me",1963,51,109,4,1,140.928,4,0.927,0.455,0.582,-10.009,0.629,4.22e-06,0.172,0.0292,"Lennon / McCartney","Lennon and McCartney","Merseybeat, Rock and Roll, Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","early","theres a place"
"Things We Said Today","A Hard Day's Night",1964,56,158,2,0,137.054,4,0.516,0.551,0.575,-8.208,0.239,0,0.112,0.0332,"McCartney","McCartney","Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","early","things we said today"
"Think for Yourself","Rubber Soul",1965,55,138,0,1,130.544,4,0.799,0.529,0.567,-9.796,0.0124,0,0.0729,0.0282,"Harrison","Harrison","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","middle","think for yourself"
"Ticket to Ride","Help!",1965,69,190,9,1,123.419,4,0.749,0.519,0.85,-6.777,0.0457,0,0.233,0.0678,"Lennon","Lennon, with McCartney","Power Pop, Jangle Pop, Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","early","ticket to ride"
"Till There Was You","With The Beatles",1963,66,136,5,1,122.421,4,0.646,0.727,0.338,-13.887,0.79,0,0.105,0.0454,"Willson","McCartney","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Cast Recordings, Show Tunes","early","till there was you"
"Tomorrow Never Knows","Revolver",1966,59,178,5,1,125.887,4,0.0534,0.38,0.829,-6.105,8.4e-05,0.00208,0.342,0.0405,"Lennon","Lennon","Psychedelic Rock, Hard Rock, Avant-Pop, Experimental Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll, British Invasion","middle","tomorrow never knows"
"Twist and Shout","Please Please Me",1963,80,125,2,1,124.631,4,0.937,0.482,0.849,-9.198,0.641,7.74e-06,0.0414,0.0452,"Medley / Russell","Lennon","Rock and Roll, R&B, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","twist and shout"
"Two of Us","Let It Be",1969,61,213,7,1,109.114,4,0.931,0.726,0.702,-10.757,0.0974,3.46e-05,0.239,0.032,"McCartney","McCartney, with Lennon","Folk Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter, Album Rock","late","two of us"
"Wait","Rubber Soul",1965,55,136,6,0,127.201,4,0.657,0.552,0.487,-10.574,0.0175,0,0.105,0.04,"Lennon / McCartney","McCartney, with Lennon","Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","middle","wait"
"What Goes on","Rubber Soul",1965,54,170,4,1,96.93,4,0.765,0.67,0.776,-10.035,0.0168,3.01e-06,0.0732,0.0749,"Lennon / McCartney / Starkey","Starkey","Country rock, Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock, Bakersfield Sound","middle","what goes on"
"What You're Doing","Beatles For Sale",1964,47,150,2,1,129.506,4,0.825,0.695,0.53,-8.309,0.301,2e-06,0.0583,0.0403,"McCartney","McCartney","Jangle pop, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Merseybeat, Folk-Rock, Psychedelic/Garage","early","what youre doing"
"When I Get Home","A Hard Day's Night",1964,47,138,9,0,125.375,4,0.64,0.568,0.793,-6.201,0.384,0,0.388,0.0482,"Lennon","Lennon","Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Alternative/Indie Rock, Britpop, Club/Dance","early","when i get home"
"When I'm Sixty Four","Sgt. Pepper's Lonely Hearts Club Band",1966,68,157,1,1,140.411,4,0.661,0.704,0.241,-13.258,0.625,2.8e-05,0.0868,0.0476,"McCartney","McCartney","Music Hall, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Psychedelic/Garage","middle","when im sixty four"
"While My Guitar Gently Weeps","The Beatles",1968,74,286,4,0,115,4,0.702,0.453,0.654,-8.855,0.0205,0.00395,0.172,0.0317,"Harrison","Harrison","Rock, Psychedelic Rock, Blues Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","late","while my guitar gently weeps"
"Why Don't We Do It in the Road?","The Beatles",1968,52,102,2,1,187.688,4,0.957,0.589,0.522,-8.718,0.53,0.000243,0.0993,0.0521,"McCartney","McCartney","Rock, Blues, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Hard Rock, Blues-Rock","late","why dont we do it in the road"
"Wild Honey Pie","The Beatles",1968,52,52,2,1,89.9,4,0.152,0.792,0.763,-11.185,0.425,0.627,0.789,0.0506,"McCartney","McCartney","Experimental pop, Lo-Fi, Psychedelic Folk, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","late","wild honey pie"
"With a Little Help From My Friends","Sgt. Pepper's Lonely Hearts Club Band",1967,69,164,4,1,112.035,4,0.803,0.705,0.515,-9.343,0.365,0,0.389,0.0337,"Lennon / McCartney","Starkey","Pop Rock, Psychedelic Pop, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Psychedelic/Garage, Rock & Roll","middle","with a little help from my friends"
"Within You Without You","Sgt. Pepper's Lonely Hearts Club Band",1967,54,305,6,1,126.166,4,0.354,0.352,0.479,-9.965,0.339,0.000353,0.486,0.0338,"Harrison","Harrison","Indian Classical, Raga Rock, Pop/Rock","British Psychedelia, Psychedelic/Garage, Contemporary Pop/Rock","middle","within you without you"
"Words of Love","Beatles For Sale",1964,51,122,9,1,122.358,4,0.85,0.551,0.533,-9.8,0.323,0.722,0.173,0.0297,"Holly","Lennon and McCartney","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","early","words of love"
"Yellow Submarine","Revolver",1966,61,158,1,1,111.398,4,0.696,0.604,0.549,-9.873,0.531,0,0.438,0.0389,"McCartney","Starkey","Children's Music, Folk, Pop/Rock","British Invasion, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic Pop, Psychedelic/Garage","middle","yellow submarine"
"Yer Blues","The Beatles",1968,54,241,9,1,151.766,3,0.435,0.327,0.525,-10.272,0.000875,0.259,0.133,0.0475,"Lennon","Lennon","Blues Rock, Hard Rock, Pop/Rock","Blues-Rock, British Blues, Contemporary Pop/Rock, Hard Rock, Regional Blues, Rock & Roll, Album Rock","late","yer blues"
"Yesterday","Help!",1965,80,123,5,1,96.529,4,0.315,0.332,0.179,-11.83,0.879,0,0.0886,0.0326,"McCartney","McCartney","Baroque Pop, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","early","yesterday"
"You Can't Do That","A Hard Day's Night",1964,51,157,0,1,129.161,4,0.961,0.612,0.788,-6.251,0.367,0,0.382,0.0335,"Lennon","Lennon","Rock and Roll, R&B, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","early","you cant do that"
"You Like Me Too Much","Help!",1965,50,155,7,1,88.316,4,0.899,0.555,0.57,-7.869,0.415,0,0.191,0.0302,"Harrison","Harrison","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock","early","you like me too much"
"You Never Give Me Your Money","Abbey Road",1969,60,242,0,1,174.464,3,0.223,0.335,0.416,-11.051,0.345,0.136,0.116,0.0348,"McCartney","McCartney","Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock, Rock & Roll","late","you never give me your money"
"You Won't See Me","Rubber Soul",1965,57,202,9,1,115.941,4,0.473,0.488,0.539,-8.752,0.136,0,0.0538,0.0304,"McCartney","McCartney","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","middle","you wont see me"
"You're Going to Lose That Girl","Help!",1965,57,140,4,1,131.975,4,0.818,0.533,0.66,-7.694,0.346,0,0.26,0.0337,"Lennon","Lennon","Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","early","youre going to lose that girl"
"You've Got to Hide Your Love Away","Help!",1965,73,131,7,1,184.267,3,0.378,0.398,0.392,-9.05,0.207,0,0.102,0.0282,"Lennon","Lennon","FolkPop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage","early","youve got to hide your love away"
"You Really Got a Hold on Me","With The Beatles",1963,54,182,9,1,77.643,4,0.687,0.373,0.388,-9.31,0.525,0,0.267,0.0337,"Robinson","Lennon and Harrison","Soul, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","you really got a hold on me"
"Your Mother Should Know","Magical Mystery Tour",1967,58,149,0,1,117.613,4,0.724,0.698,0.293,-11.361,0.784,0.0106,0.0936,0.0332,"McCartney","McCartney","Music Hall, Vaudeville Rock, Psychedelic Pop, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","middle","your mother should know"
