"Title","Album","Year","Popularity","Duration","Key","Mode","Tempo","Time_signature","Valence","Danceability","Energy","Loudness","Acousticness","Instrumentalness","Liveness","Speechiness","Songwriter.s.","Lead.vocal.s.","Genre","Styles","Period","titulo_tratado"
"For You Blue","Let It Be",1969,52,152,2,1,128.542,4,0.955,0.88,0.556,-10.773,0.24,0.0483,0.24,0.0855,"Harrison","Harrison","Country Blues, Pop/Rock, Blues","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Blues-Rock, British Blues, Regional Blues","late","for you blue"
"Get Back","Let It Be",1969,70,194,2,1,123.095,4,0.332,0.761,0.592,-9.836,0.492,0.00626,0.61,0.0586,"McCartney","McCartney","Blues Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","late","get back"
"Getting Better","Sgt. Pepper's Lonely Hearts Club Band",1967,56,167,0,1,121.672,4,0.764,0.632,0.471,-7.887,0.313,5.08e-06,0.0712,0.0348,"Lennon / McCartney","McCartney","Psychedelic Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, British Psychedelia, Psychedelic/Garage","middle","getting better"
"Girl","Rubber Soul",1965,66,153,5,0,96.615,4,0.893,0.699,0.294,-13.205,0.587,0,0.117,0.0294,"Lennon","Lennon","Folk, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","middle","girl"
"Glass Onion","The Beatles",1968,58,137,7,0,120.432,4,0.789,0.523,0.51,-9.827,0.0123,8.38e-05,0.108,0.0514,"Lennon","Lennon","Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Psychedelic/Garage, Rock & Roll","late","glass onion"
"Golden Slumbers","Abbey Road",1969,70,91,0,1,80.608,4,0.239,0.419,0.152,-12.126,0.326,0.0034,0.113,0.0277,"McCartney","McCartney","Rock, Baroque Pop, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock","late","golden slumbers"
"Good Day Sunshine","Revolver",1966,65,129,11,1,117.331,3,0.571,0.77,0.496,-8.45,0.719,0,0.123,0.0468,"McCartney","McCartney","Sunshine Pop, Music Hall, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock","middle","good day sunshine"
"Good Morning, Good Morning","Sgt. Pepper's Lonely Hearts Club Band",1967,52,161,2,1,121.849,3,0.93,0.542,0.618,-8.876,0.0858,0,0.772,0.139,"Lennon","Lennon","Rock, Hard Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll, Hard Rock","middle","good morning good morning"
"Good Night","The Beatles",1968,51,191,7,1,146.408,3,0.178,0.146,0.355,-14.583,0.865,0.835,0.114,0.0352,"Lennon","Starkey","Orchestral Pop, Lullaby, Pop/Rock","Lullabies, Contemporary Pop/Rock, Early Pop/Rock, Baroque Pop","late","good night"
"Got to Get You Into My Life","Revolver",1966,60,147,0,1,136.679,4,0.711,0.521,0.524,-6.136,0.42,9.27e-06,0.0838,0.0302,"McCartney","McCartney","R&B, Rock, Jazz Fusion, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Pop-Soul, Rock & Roll, Soul","middle","got to get you into my life"
"Happiness Is a Warm Gun","The Beatles",1968,61,163,9,0,139.288,4,0.44,0.431,0.54,-9.6,0.523,1.34e-06,0.169,0.0589,"Lennon","Lennon","Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Hard Rock, Prog-Rock","late","happiness is a warm gun"
"Hello, Goodbye","Magical Mystery Tour",1967,63,207,0,1,99.307,4,0.806,0.479,0.733,-8.753,0.306,2.4e-05,0.414,0.0256,"McCartney","McCartney","Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","middle","hello goodbye"
"Help!","Help!",1965,74,138,6,0,95.003,4,0.763,0.534,0.725,-7.576,0.188,0,0.0994,0.0332,"Lennon / McCartney","Lennon","Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","early","help"
"Helter Skelter","The Beatles",1968,63,270,9,1,167.518,4,0.281,0.166,0.831,-8.469,0.000606,0.846,0.811,0.0894,"McCartney","McCartney","Hard Rock, Heavy Metal[, Proto-Punk, Pop/Rock","Album Rock, Contemporary Pop/Rock, Hard Rock, Heavy Metal, Rock & Roll","late","helter skelter"
"Her Majesty","Abbey Road",1969,27,23,2,1,100.874,3,0.522,0.703,0.215,-23.03,0.728,1.23e-06,0.13,0.0892,"McCartney","McCartney","Music Hall, Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter, Album Rock","late","her majesty"
"Here Comes the Sun","Abbey Road",1969,87,186,9,1,129.171,4,0.394,0.557,0.54,-10.484,0.0339,0.00248,0.179,0.0347,"Harrison","Harrison","Folk Pop, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock","late","here comes the sun"
